,NN,NN-TL,IN,JJ,NP,CS,RB,NNS,JJ-TL,VB,QL,VBN,VBD,IN-TL,RP,NP-TL,NNS-TL,AT,CD,TO
NN,0,18,0,5,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0
NN-TL,29,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,0,0,0,4,2,0,0,0,0,0,0,5,5,0,0,0,0,0
JJ,4,0,0,0,2,0,2,0,8,1,0,0,0,0,0,0,0,0,0,0
NP,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
CS,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
RB,1,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NNS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
JJ-TL,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QL,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0
VBN,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
VBD,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
IN-TL,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP-TL,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NNS-TL,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
AT,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
