,NOUN,PROPN,VERB,ADJ,ADV,AUX,DET,PRON,ADP,SCONJ,CCONJ,NUM,PART,X,INTJ
NOUN,0,39,4,4,2,1,2,0,0,0,0,0,0,0,0
PROPN,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0
VERB,10,0,0,3,0,18,0,0,0,0,0,0,0,0,0
ADJ,6,10,6,0,12,0,0,0,0,0,0,0,0,0,0
ADV,3,0,2,2,0,0,0,0,1,2,2,0,1,0,0
AUX,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
DET,1,0,0,1,2,0,0,6,0,0,0,0,0,1,0
PRON,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0
ADP,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0
SCONJ,0,0,0,0,4,0,0,0,4,0,2,0,0,0,0
CCONJ,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0
NUM,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PART,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
X,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
INTJ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
